Date,ECB Nominal effective exch. rate of the US dollar against Narrow EER group of trading partners (fixed composition): EER-12,obs. status
1993-01-18,94.0423,Normal value (A)
1993-01-17,-,Missing value; data cannot exist (M)
1993-01-16,-,Missing value; data cannot exist (M)
1993-01-15,94.1413,Normal value (A)
1993-01-14,94.2263,Normal value (A)
1993-01-13,94.3658,Normal value (A)
1993-01-12,93.9643,Normal value (A)
1993-01-11,94.1756,Normal value (A)
1993-01-10,-,Missing value; data cannot exist (M)
1993-01-09,-,Missing value; data cannot exist (M)
1993-01-08,94.7066,Normal value (A)
1993-01-07,94.3441,Normal value (A)
1993-01-06,94.1890,Normal value (A)
1993-01-05,94.4762,Normal value (A)
1993-01-04,94.3208,Normal value (A)
1993-01-03,-,Missing value; data cannot exist (M)
1993-01-02,-,Missing value; data cannot exist (M)
1993-01-01,-,Missing value; data cannot exist (M)
1992-12-31,93.6183,Normal value (A)
1992-12-30,93.6344,Normal value (A)
1992-12-29,93.7379,Normal value (A)
1992-12-28,93.0679,Normal value (A)
1992-12-27,-,Missing value; data cannot exist (M)
1992-12-26,-,Missing value; data cannot exist (M)
1992-12-25,-,Missing value; data cannot exist (M)
1992-12-24,92.8301,Normal value (A)
1992-12-23,92.9055,Normal value (A)
1992-12-22,92.6364,Normal value (A)
1992-12-21,92.3357,Normal value (A)
1992-12-20,-,Missing value; data cannot exist (M)
1992-12-19,-,Missing value; data cannot exist (M)
1992-12-18,92.3863,Normal value (A)
1992-12-17,91.9510,Normal value (A)
1992-12-16,92.4687,Normal value (A)
1992-12-15,92.6705,Normal value (A)
1992-12-14,92.5432,Normal value (A)
1992-12-13,-,Missing value; data cannot exist (M)
1992-12-12,-,Missing value; data cannot exist (M)
1992-12-11,92.8041,Normal value (A)
1992-12-10,92.6722,Normal value (A)
1992-12-09,92.5605,Normal value (A)
1992-12-08,91.8571,Normal value (A)
1992-12-07,92.7234,Normal value (A)
1992-12-06,-,Missing value; data cannot exist (M)
1992-12-05,-,Missing value; data cannot exist (M)
1992-12-04,92.5451,Normal value (A)
1992-12-03,92.8506,Normal value (A)
1992-12-02,92.8812,Normal value (A)
1992-12-01,93.5182,Normal value (A)
1992-11-30,93.5258,Normal value (A)
1992-11-29,-,Missing value; data cannot exist (M)
1992-11-28,-,Missing value; data cannot exist (M)
1992-11-27,93.4839,Normal value (A)
1992-11-26,93.0877,Normal value (A)
1992-11-25,92.9016,Normal value (A)
1992-11-24,93.4627,Normal value (A)
1992-11-23,93.4895,Normal value (A)
1992-11-22,-,Missing value; data cannot exist (M)
1992-11-21,-,Missing value; data cannot exist (M)
1992-11-20,92.7764,Normal value (A)
1992-11-19,92.4318,Normal value (A)
1992-11-18,92.5550,Normal value (A)
1992-11-17,93.0979,Normal value (A)
1992-11-16,92.5326,Normal value (A)
1992-11-15,-,Missing value; data cannot exist (M)
1992-11-14,-,Missing value; data cannot exist (M)
1992-11-13,91.9025,Normal value (A)
1992-11-12,92.4098,Normal value (A)
1992-11-11,92.6468,Normal value (A)
1992-11-10,92.7062,Normal value (A)
1992-11-09,92.3886,Normal value (A)
1992-11-08,-,Missing value; data cannot exist (M)
1992-11-07,-,Missing value; data cannot exist (M)
1992-11-06,91.9149,Normal value (A)
1992-11-05,91.9124,Normal value (A)
1992-11-04,91.3337,Normal value (A)
1992-11-03,91.6915,Normal value (A)
1992-11-02,91.3855,Normal value (A)
1992-11-01,-,Missing value; data cannot exist (M)
1992-10-31,-,Missing value; data cannot exist (M)
1992-10-30,90.9292,Normal value (A)
1992-10-29,91.0638,Normal value (A)
1992-10-28,90.6725,Normal value (A)
1992-10-27,90.8896,Normal value (A)
1992-10-26,91.0449,Normal value (A)
1992-10-25,-,Missing value; data cannot exist (M)
1992-10-24,-,Missing value; data cannot exist (M)
1992-10-23,90.7246,Normal value (A)
1992-10-22,90.0347,Normal value (A)
1992-10-21,90.1568,Normal value (A)
1992-10-20,89.9362,Normal value (A)
1992-10-19,89.4186,Normal value (A)
1992-10-18,-,Missing value; data cannot exist (M)
1992-10-17,-,Missing value; data cannot exist (M)
1992-10-16,88.5717,Normal value (A)
1992-10-15,88.8427,Normal value (A)
1992-10-14,88.8055,Normal value (A)
1992-10-13,89.3589,Normal value (A)
1992-10-12,88.9798,Normal value (A)
1992-10-11,-,Missing value; data cannot exist (M)
1992-10-10,-,Missing value; data cannot exist (M)
1992-10-09,89.1813,Normal value (A)
1992-10-08,89.0362,Normal value (A)
1992-10-07,87.8685,Normal value (A)
1992-10-06,88.0263,Normal value (A)
1992-10-05,87.5698,Normal value (A)
1992-10-04,-,Missing value; data cannot exist (M)
1992-10-03,-,Missing value; data cannot exist (M)
1992-10-02,88.3271,Normal value (A)
1992-10-01,87.6171,Normal value (A)
1992-09-30,87.3793,Normal value (A)
1992-09-29,87.6776,Normal value (A)
1992-09-28,88.2152,Normal value (A)
1992-09-27,-,Missing value; data cannot exist (M)
1992-09-26,-,Missing value; data cannot exist (M)
1992-09-25,88.5977,Normal value (A)
1992-09-24,88.9270,Normal value (A)
1992-09-23,89.4158,Normal value (A)
1992-09-22,88.4793,Normal value (A)
1992-09-21,89.1422,Normal value (A)
1992-09-20,-,Missing value; data cannot exist (M)
1992-09-19,-,Missing value; data cannot exist (M)
1992-09-18,88.8279,Normal value (A)
1992-09-17,89.2037,Normal value (A)
1992-09-16,88.6290,Normal value (A)
1992-09-15,87.7404,Normal value (A)
1992-09-14,88.1019,Normal value (A)
1992-09-13,-,Missing value; data cannot exist (M)
1992-09-12,-,Missing value; data cannot exist (M)
1992-09-11,87.0566,Normal value (A)
1992-09-10,86.5735,Normal value (A)
1992-09-09,86.1233,Normal value (A)
1992-09-08,85.8029,Normal value (A)
1992-09-07,85.8681,Normal value (A)
1992-09-06,-,Missing value; data cannot exist (M)
1992-09-05,-,Missing value; data cannot exist (M)
1992-09-04,86.6629,Normal value (A)
1992-09-03,85.6083,Normal value (A)
1992-09-02,85.4658,Normal value (A)
1992-09-01,85.6213,Normal value (A)
1992-08-31,86.0134,Normal value (A)
1992-08-30,-,Missing value; data cannot exist (M)
1992-08-29,-,Missing value; data cannot exist (M)
1992-08-28,85.9434,Normal value (A)
1992-08-27,86.2427,Normal value (A)
1992-08-26,85.9890,Normal value (A)
1992-08-25,86.0482,Normal value (A)
1992-08-24,86.5253,Normal value (A)
1992-08-23,-,Missing value; data cannot exist (M)
1992-08-22,-,Missing value; data cannot exist (M)
1992-08-21,87.2791,Normal value (A)
1992-08-20,87.2440,Normal value (A)
1992-08-19,87.4671,Normal value (A)
1992-08-18,87.4590,Normal value (A)
1992-08-17,87.5451,Normal value (A)
1992-08-16,-,Missing value; data cannot exist (M)
1992-08-15,-,Missing value; data cannot exist (M)
1992-08-14,87.4238,Normal value (A)
1992-08-13,87.5623,Normal value (A)
1992-08-12,87.7765,Normal value (A)
1992-08-11,87.6598,Normal value (A)
1992-08-10,87.5941,Normal value (A)
1992-08-09,-,Missing value; data cannot exist (M)
1992-08-08,-,Missing value; data cannot exist (M)
1992-08-07,87.7407,Normal value (A)
1992-08-06,87.9044,Normal value (A)
1992-08-05,87.6401,Normal value (A)
1992-08-04,87.6417,Normal value (A)
1992-08-03,87.6003,Normal value (A)
1992-08-02,-,Missing value; data cannot exist (M)
1992-08-01,-,Missing value; data cannot exist (M)
1992-07-31,87.6475,Normal value (A)
1992-07-30,87.7478,Normal value (A)
1992-07-29,87.4977,Normal value (A)
1992-07-28,87.6600,Normal value (A)
1992-07-27,87.7663,Normal value (A)
1992-07-26,-,Missing value; data cannot exist (M)
1992-07-25,-,Missing value; data cannot exist (M)
1992-07-24,87.8025,Normal value (A)
1992-07-23,87.8354,Normal value (A)
1992-07-22,87.7282,Normal value (A)
1992-07-21,88.0934,Normal value (A)
1992-07-20,86.5543,Normal value (A)
1992-07-19,-,Missing value; data cannot exist (M)
1992-07-18,-,Missing value; data cannot exist (M)
1992-07-17,87.2009,Normal value (A)
1992-07-16,87.6593,Normal value (A)
1992-07-15,87.5977,Normal value (A)
1992-07-14,87.5006,Normal value (A)
1992-07-13,87.5486,Normal value (A)
1992-07-12,-,Missing value; data cannot exist (M)
1992-07-11,-,Missing value; data cannot exist (M)
1992-07-10,88.0939,Normal value (A)
1992-07-09,87.8845,Normal value (A)
1992-07-08,87.5253,Normal value (A)
1992-07-07,87.5375,Normal value (A)
1992-07-06,88.0982,Normal value (A)
1992-07-05,-,Missing value; data cannot exist (M)
1992-07-04,-,Missing value; data cannot exist (M)
1992-07-03,88.0708,Normal value (A)
1992-07-02,88.2806,Normal value (A)
1992-07-01,88.2016,Normal value (A)
1992-06-30,88.5329,Normal value (A)
1992-06-29,88.1822,Normal value (A)
1992-06-28,-,Missing value; data cannot exist (M)
1992-06-27,-,Missing value; data cannot exist (M)
1992-06-26,88.7653,Normal value (A)
1992-06-25,88.8647,Normal value (A)
1992-06-24,89.4499,Normal value (A)
1992-06-23,89.3849,Normal value (A)
1992-06-22,89.6315,Normal value (A)
1992-06-21,-,Missing value; data cannot exist (M)
1992-06-20,-,Missing value; data cannot exist (M)
1992-06-19,89.5471,Normal value (A)
1992-06-18,89.6200,Normal value (A)
1992-06-17,89.4633,Normal value (A)
1992-06-16,89.6341,Normal value (A)
1992-06-15,89.3943,Normal value (A)
1992-06-14,-,Missing value; data cannot exist (M)
1992-06-13,-,Missing value; data cannot exist (M)
1992-06-12,89.4266,Normal value (A)
1992-06-11,90.0597,Normal value (A)
1992-06-10,90.1254,Normal value (A)
1992-06-09,89.8399,Normal value (A)
1992-06-08,-,Missing value; data cannot exist (M)
1992-06-07,-,Missing value; data cannot exist (M)
1992-06-06,-,Missing value; data cannot exist (M)
1992-06-05,90.0596,Normal value (A)
1992-06-04,90.5125,Normal value (A)
1992-06-03,90.4683,Normal value (A)
1992-06-02,90.5921,Normal value (A)
1992-06-01,90.1076,Normal value (A)
1992-05-31,-,Missing value; data cannot exist (M)
1992-05-30,-,Missing value; data cannot exist (M)
1992-05-29,90.5831,Normal value (A)
1992-05-28,-,Missing value; data cannot exist (M)
1992-05-27,91.2674,Normal value (A)
1992-05-26,90.6013,Normal value (A)
1992-05-25,90.6727,Normal value (A)
1992-05-24,-,Missing value; data cannot exist (M)
1992-05-23,-,Missing value; data cannot exist (M)
1992-05-22,90.8776,Normal value (A)
1992-05-21,90.7293,Normal value (A)
1992-05-20,90.2678,Normal value (A)
1992-05-19,90.1864,Normal value (A)
1992-05-18,90.3279,Normal value (A)
1992-05-17,-,Missing value; data cannot exist (M)
1992-05-16,-,Missing value; data cannot exist (M)
1992-05-15,91.0769,Normal value (A)
1992-05-14,90.8443,Normal value (A)
1992-05-13,90.8635,Normal value (A)
1992-05-12,91.6483,Normal value (A)
1992-05-11,91.9274,Normal value (A)
1992-05-10,-,Missing value; data cannot exist (M)
1992-05-09,-,Missing value; data cannot exist (M)
1992-05-08,91.4827,Normal value (A)
1992-05-07,91.4540,Normal value (A)
1992-05-06,91.6131,Normal value (A)
1992-05-05,91.7117,Normal value (A)
1992-05-04,91.8155,Normal value (A)
1992-05-03,-,Missing value; data cannot exist (M)
1992-05-02,-,Missing value; data cannot exist (M)
1992-05-01,-,Missing value; data cannot exist (M)
1992-04-30,92.2690,Normal value (A)
1992-04-29,92.0492,Normal value (A)
1992-04-28,92.1991,Normal value (A)
1992-04-27,91.9985,Normal value (A)
1992-04-26,-,Missing value; data cannot exist (M)
1992-04-25,-,Missing value; data cannot exist (M)
1992-04-24,92.0431,Normal value (A)
1992-04-23,92.3472,Normal value (A)
1992-04-22,92.3238,Normal value (A)
1992-04-21,92.2065,Normal value (A)
1992-04-20,-,Missing value; data cannot exist (M)
1992-04-19,-,Missing value; data cannot exist (M)
1992-04-18,-,Missing value; data cannot exist (M)
1992-04-17,-,Missing value; data cannot exist (M)
1992-04-16,91.9772,Normal value (A)
1992-04-15,91.8505,Normal value (A)
1992-04-14,91.7667,Normal value (A)
1992-04-13,91.9777,Normal value (A)
1992-04-12,-,Missing value; data cannot exist (M)
1992-04-11,-,Missing value; data cannot exist (M)
1992-04-10,91.3565,Normal value (A)
1992-04-09,91.8472,Normal value (A)
1992-04-08,91.4695,Normal value (A)
1992-04-07,91.8474,Normal value (A)
1992-04-06,91.5194,Normal value (A)
1992-04-05,-,Missing value; data cannot exist (M)
1992-04-04,-,Missing value; data cannot exist (M)
1992-04-03,92.0004,Normal value (A)
1992-04-02,92.4098,Normal value (A)
1992-04-01,92.3059,Normal value (A)
1992-03-31,91.8759,Normal value (A)
1992-03-30,92.0024,Normal value (A)
1992-03-29,-,Missing value; data cannot exist (M)
1992-03-28,-,Missing value; data cannot exist (M)
1992-03-27,92.4154,Normal value (A)
1992-03-26,92.1535,Normal value (A)
1992-03-25,92.2490,Normal value (A)
1992-03-24,92.3766,Normal value (A)
1992-03-23,92.5381,Normal value (A)
1992-03-22,-,Missing value; data cannot exist (M)
1992-03-21,-,Missing value; data cannot exist (M)
1992-03-20,92.8628,Normal value (A)
1992-03-19,92.4009,Normal value (A)
1992-03-18,92.0058,Normal value (A)
1992-03-17,92.3922,Normal value (A)
1992-03-16,92.6857,Normal value (A)
1992-03-15,-,Missing value; data cannot exist (M)
1992-03-14,-,Missing value; data cannot exist (M)
1992-03-13,92.6414,Normal value (A)
1992-03-12,92.4988,Normal value (A)
1992-03-11,92.8033,Normal value (A)
1992-03-10,92.2134,Normal value (A)
1992-03-09,92.2215,Normal value (A)
1992-03-08,-,Missing value; data cannot exist (M)
1992-03-07,-,Missing value; data cannot exist (M)
1992-03-06,92.1048,Normal value (A)
1992-03-05,92.4992,Normal value (A)
1992-03-04,91.9736,Normal value (A)
1992-03-03,91.8031,Normal value (A)
1992-03-02,91.0632,Normal value (A)
1992-03-01,-,Missing value; data cannot exist (M)
1992-02-29,-,Missing value; data cannot exist (M)
1992-02-28,91.0636,Normal value (A)
1992-02-27,90.9180,Normal value (A)
1992-02-26,91.5457,Normal value (A)
1992-02-25,91.4096,Normal value (A)
1992-02-24,91.6452,Normal value (A)
1992-02-23,-,Missing value; data cannot exist (M)
1992-02-22,-,Missing value; data cannot exist (M)
1992-02-21,91.3492,Normal value (A)
1992-02-20,91.4751,Normal value (A)
1992-02-19,91.1647,Normal value (A)
1992-02-18,91.1297,Normal value (A)
1992-02-17,90.4723,Normal value (A)
1992-02-16,-,Missing value; data cannot exist (M)
1992-02-15,-,Missing value; data cannot exist (M)
1992-02-14,90.5765,Normal value (A)
1992-02-13,90.0156,Normal value (A)
1992-02-12,89.9812,Normal value (A)
1992-02-11,89.7294,Normal value (A)
1992-02-10,89.1324,Normal value (A)
1992-02-09,-,Missing value; data cannot exist (M)
1992-02-08,-,Missing value; data cannot exist (M)
1992-02-07,89.4819,Normal value (A)
1992-02-06,89.2082,Normal value (A)
1992-02-05,89.3702,Normal value (A)
1992-02-04,89.6981,Normal value (A)
1992-02-03,89.8287,Normal value (A)
1992-02-02,-,Missing value; data cannot exist (M)
1992-02-01,-,Missing value; data cannot exist (M)
1992-01-31,89.9194,Normal value (A)
1992-01-30,89.6269,Normal value (A)
1992-01-29,89.4032,Normal value (A)
1992-01-28,89.8734,Normal value (A)
1992-01-27,89.5925,Normal value (A)
1992-01-26,-,Missing value; data cannot exist (M)
1992-01-25,-,Missing value; data cannot exist (M)
1992-01-24,89.8576,Normal value (A)
1992-01-23,88.9364,Normal value (A)
1992-01-22,88.7620,Normal value (A)
1992-01-21,88.9362,Normal value (A)
1992-01-20,88.7796,Normal value (A)
1992-01-19,-,Missing value; data cannot exist (M)
1992-01-18,-,Missing value; data cannot exist (M)
1992-01-17,90.3868,Normal value (A)
1992-01-16,90.0747,Normal value (A)
1992-01-15,90.2118,Normal value (A)
1992-01-14,88.7617,Normal value (A)
1992-01-13,89.0702,Normal value (A)
1992-01-12,-,Missing value; data cannot exist (M)
1992-01-11,-,Missing value; data cannot exist (M)
1992-01-10,88.5659,Normal value (A)
1992-01-09,87.5729,Normal value (A)
1992-01-08,87.2568,Normal value (A)
1992-01-07,87.1681,Normal value (A)
1992-01-06,87.6289,Normal value (A)
1992-01-05,-,Missing value; data cannot exist (M)
1992-01-04,-,Missing value; data cannot exist (M)
1992-01-03,87.9552,Normal value (A)
1992-01-02,87.4317,Normal value (A)
1992-01-01,-,Missing value; data cannot exist (M)
1991-12-31,87.6772,Normal value (A)
1991-12-30,87.8471,Normal value (A)
1991-12-29,-,Missing value; data cannot exist (M)
1991-12-28,-,Missing value; data cannot exist (M)
1991-12-27,87.8428,Normal value (A)
1991-12-26,-,Missing value; data cannot exist (M)
1991-12-25,-,Missing value; data cannot exist (M)
1991-12-24,87.9542,Normal value (A)
1991-12-23,88.0581,Normal value (A)
1991-12-22,-,Missing value; data cannot exist (M)
1991-12-21,-,Missing value; data cannot exist (M)
1991-12-20,89.0452,Normal value (A)
1991-12-19,88.8779,Normal value (A)
1991-12-18,88.9430,Normal value (A)
1991-12-17,89.0095,Normal value (A)
1991-12-16,89.2053,Normal value (A)
1991-12-15,-,Missing value; data cannot exist (M)
1991-12-14,-,Missing value; data cannot exist (M)
1991-12-13,89.4875,Normal value (A)
1991-12-12,89.1577,Normal value (A)
1991-12-11,89.5866,Normal value (A)
1991-12-10,89.0728,Normal value (A)
1991-12-09,89.0146,Normal value (A)
1991-12-08,-,Missing value; data cannot exist (M)
1991-12-07,-,Missing value; data cannot exist (M)
1991-12-06,89.4344,Normal value (A)
1991-12-05,89.5638,Normal value (A)
1991-12-04,89.7550,Normal value (A)
1991-12-03,89.8797,Normal value (A)
1991-12-02,89.8155,Normal value (A)
1991-12-01,-,Missing value; data cannot exist (M)
1991-11-30,-,Missing value; data cannot exist (M)
1991-11-29,90.3681,Normal value (A)
1991-11-28,89.9922,Normal value (A)
1991-11-27,89.8589,Normal value (A)
1991-11-26,89.4950,Normal value (A)
1991-11-25,89.0776,Normal value (A)
1991-11-24,-,Missing value; data cannot exist (M)
1991-11-23,-,Missing value; data cannot exist (M)
1991-11-22,89.5007,Normal value (A)
1991-11-21,89.6819,Normal value (A)
1991-11-20,89.6929,Normal value (A)
1991-11-19,89.5979,Normal value (A)
1991-11-18,89.3817,Normal value (A)
1991-11-17,-,Missing value; data cannot exist (M)
1991-11-16,-,Missing value; data cannot exist (M)
1991-11-15,90.1480,Normal value (A)
1991-11-14,90.1275,Normal value (A)
1991-11-13,90.2575,Normal value (A)
1991-11-12,90.0673,Normal value (A)
1991-11-11,90.4877,Normal value (A)
1991-11-10,-,Missing value; data cannot exist (M)
1991-11-09,-,Missing value; data cannot exist (M)
1991-11-08,90.4274,Normal value (A)
1991-11-07,90.0571,Normal value (A)
1991-11-06,90.0912,Normal value (A)
1991-11-05,90.2164,Normal value (A)
1991-11-04,89.9913,Normal value (A)
1991-11-03,-,Missing value; data cannot exist (M)
1991-11-02,-,Missing value; data cannot exist (M)
1991-11-01,90.7821,Normal value (A)
1991-10-31,91.0506,Normal value (A)
1991-10-30,91.1142,Normal value (A)
1991-10-29,91.8808,Normal value (A)
1991-10-28,91.8115,Normal value (A)
1991-10-27,-,Missing value; data cannot exist (M)
1991-10-26,-,Missing value; data cannot exist (M)
1991-10-25,91.4955,Normal value (A)
1991-10-24,91.3653,Normal value (A)
1991-10-23,91.7107,Normal value (A)
1991-10-22,91.4630,Normal value (A)
1991-10-21,91.1291,Normal value (A)
1991-10-20,-,Missing value; data cannot exist (M)
1991-10-19,-,Missing value; data cannot exist (M)
1991-10-18,91.1508,Normal value (A)
1991-10-17,91.4622,Normal value (A)
1991-10-16,91.4814,Normal value (A)
1991-10-15,91.5125,Normal value (A)
1991-10-14,91.1358,Normal value (A)
1991-10-13,-,Missing value; data cannot exist (M)
1991-10-12,-,Missing value; data cannot exist (M)
1991-10-11,91.4111,Normal value (A)
1991-10-10,90.9615,Normal value (A)
1991-10-09,91.5652,Normal value (A)
1991-10-08,91.0684,Normal value (A)
1991-10-07,90.8861,Normal value (A)
1991-10-06,-,Missing value; data cannot exist (M)
1991-10-05,-,Missing value; data cannot exist (M)
1991-10-04,90.6318,Normal value (A)
1991-10-03,90.6998,Normal value (A)
1991-10-02,90.8481,Normal value (A)
1991-10-01,91.1677,Normal value (A)
1991-09-30,90.9484,Normal value (A)
1991-09-29,-,Missing value; data cannot exist (M)
1991-09-28,-,Missing value; data cannot exist (M)
1991-09-27,91.6693,Normal value (A)
1991-09-26,91.4700,Normal value (A)
1991-09-25,91.3622,Normal value (A)
1991-09-24,91.2373,Normal value (A)
1991-09-23,91.2531,Normal value (A)
1991-09-22,-,Missing value; data cannot exist (M)
1991-09-21,-,Missing value; data cannot exist (M)
1991-09-20,91.9738,Normal value (A)
1991-09-19,91.6254,Normal value (A)
1991-09-18,91.7271,Normal value (A)
1991-09-17,91.2880,Normal value (A)
1991-09-16,91.7433,Normal value (A)
1991-09-15,-,Missing value; data cannot exist (M)
1991-09-14,-,Missing value; data cannot exist (M)
1991-09-13,91.7650,Normal value (A)
1991-09-12,91.8019,Normal value (A)
1991-09-11,91.9824,Normal value (A)
1991-09-10,91.9227,Normal value (A)
1991-09-09,92.2514,Normal value (A)
1991-09-08,-,Missing value; data cannot exist (M)
1991-09-07,-,Missing value; data cannot exist (M)
1991-09-06,92.9782,Normal value (A)
1991-09-05,92.9324,Normal value (A)
1991-09-04,92.9088,Normal value (A)
1991-09-03,93.0610,Normal value (A)
1991-09-02,93.1980,Normal value (A)
1991-09-01,-,Missing value; data cannot exist (M)
1991-08-31,-,Missing value; data cannot exist (M)
1991-08-30,93.1045,Normal value (A)
1991-08-29,92.9215,Normal value (A)
1991-08-28,93.5119,Normal value (A)
1991-08-27,93.3958,Normal value (A)
1991-08-26,93.4194,Normal value (A)
1991-08-25,-,Missing value; data cannot exist (M)
1991-08-24,-,Missing value; data cannot exist (M)
1991-08-23,92.8515,Normal value (A)
1991-08-22,93.2803,Normal value (A)
1991-08-21,93.8406,Normal value (A)
1991-08-20,94.3039,Normal value (A)
1991-08-19,94.8309,Normal value (A)
1991-08-18,-,Missing value; data cannot exist (M)
1991-08-17,-,Missing value; data cannot exist (M)
1991-08-16,93.4293,Normal value (A)
1991-08-15,93.0614,Normal value (A)
1991-08-14,93.1882,Normal value (A)
1991-08-13,92.8724,Normal value (A)
1991-08-12,92.9459,Normal value (A)
1991-08-11,-,Missing value; data cannot exist (M)
1991-08-10,-,Missing value; data cannot exist (M)
1991-08-09,92.6622,Normal value (A)
1991-08-08,92.4534,Normal value (A)
1991-08-07,92.6026,Normal value (A)
1991-08-06,92.6121,Normal value (A)
1991-08-05,93.2730,Normal value (A)
1991-08-04,-,Missing value; data cannot exist (M)
1991-08-03,-,Missing value; data cannot exist (M)
1991-08-02,94.0352,Normal value (A)
1991-08-01,93.3848,Normal value (A)
1991-07-31,93.5249,Normal value (A)
1991-07-30,93.4650,Normal value (A)
1991-07-29,93.4629,Normal value (A)
1991-07-28,-,Missing value; data cannot exist (M)
1991-07-27,-,Missing value; data cannot exist (M)
1991-07-26,93.5897,Normal value (A)
1991-07-25,93.4447,Normal value (A)
1991-07-24,93.6283,Normal value (A)
1991-07-23,93.8933,Normal value (A)
1991-07-22,93.6402,Normal value (A)
1991-07-21,-,Missing value; data cannot exist (M)
1991-07-20,-,Missing value; data cannot exist (M)
1991-07-19,93.6702,Normal value (A)
1991-07-18,93.8852,Normal value (A)
1991-07-17,94.3991,Normal value (A)
1991-07-16,94.1290,Normal value (A)
1991-07-15,94.3391,Normal value (A)
1991-07-14,-,Missing value; data cannot exist (M)
1991-07-13,-,Missing value; data cannot exist (M)
1991-07-12,95.1484,Normal value (A)
1991-07-11,94.6937,Normal value (A)
1991-07-10,95.0916,Normal value (A)
1991-07-09,94.8473,Normal value (A)
1991-07-08,94.8081,Normal value (A)
1991-07-07,-,Missing value; data cannot exist (M)
1991-07-06,-,Missing value; data cannot exist (M)
1991-07-05,95.2309,Normal value (A)
1991-07-04,95.2325,Normal value (A)
1991-07-03,95.2139,Normal value (A)
1991-07-02,95.0514,Normal value (A)
1991-07-01,94.5197,Normal value (A)
1991-06-30,-,Missing value; data cannot exist (M)
1991-06-29,-,Missing value; data cannot exist (M)
1991-06-28,94.6368,Normal value (A)
1991-06-27,94.4884,Normal value (A)
1991-06-26,94.4800,Normal value (A)
1991-06-25,94.4724,Normal value (A)
1991-06-24,94.6217,Normal value (A)
1991-06-23,-,Missing value; data cannot exist (M)
1991-06-22,-,Missing value; data cannot exist (M)
1991-06-21,94.4820,Normal value (A)
1991-06-20,94.4848,Normal value (A)
1991-06-19,95.2084,Normal value (A)
1991-06-18,95.2382,Normal value (A)
1991-06-17,94.9218,Normal value (A)
1991-06-16,-,Missing value; data cannot exist (M)
1991-06-15,-,Missing value; data cannot exist (M)
1991-06-14,94.9669,Normal value (A)
1991-06-13,95.0458,Normal value (A)
1991-06-12,94.4693,Normal value (A)
1991-06-11,94.3626,Normal value (A)
1991-06-10,94.3594,Normal value (A)
1991-06-09,-,Missing value; data cannot exist (M)
1991-06-08,-,Missing value; data cannot exist (M)
1991-06-07,93.7300,Normal value (A)
1991-06-06,93.5846,Normal value (A)
1991-06-05,93.5933,Normal value (A)
1991-06-04,93.5752,Normal value (A)
1991-06-03,93.6587,Normal value (A)
1991-06-02,-,Missing value; data cannot exist (M)
1991-06-01,-,Missing value; data cannot exist (M)
1991-05-31,92.8193,Normal value (A)
1991-05-30,92.6255,Normal value (A)
1991-05-29,92.1451,Normal value (A)
1991-05-28,92.7419,Normal value (A)
1991-05-27,92.5330,Normal value (A)
1991-05-26,-,Missing value; data cannot exist (M)
1991-05-25,-,Missing value; data cannot exist (M)
1991-05-24,92.5741,Normal value (A)
1991-05-23,93.1677,Normal value (A)
1991-05-22,92.6519,Normal value (A)
1991-05-21,92.6166,Normal value (A)
1991-05-20,-,Missing value; data cannot exist (M)
1991-05-19,-,Missing value; data cannot exist (M)
1991-05-18,-,Missing value; data cannot exist (M)
1991-05-17,92.3236,Normal value (A)
1991-05-16,92.1404,Normal value (A)
1991-05-15,92.4284,Normal value (A)
1991-05-14,92.9244,Normal value (A)
1991-05-13,93.1033,Normal value (A)
1991-05-12,-,Missing value; data cannot exist (M)
1991-05-11,-,Missing value; data cannot exist (M)
1991-05-10,93.2203,Normal value (A)
1991-05-09,93.2951,Normal value (A)
1991-05-08,93.0597,Normal value (A)
1991-05-07,92.9712,Normal value (A)
1991-05-06,93.3677,Normal value (A)
1991-05-05,-,Missing value; data cannot exist (M)
1991-05-04,-,Missing value; data cannot exist (M)
1991-05-03,92.4738,Normal value (A)
1991-05-02,92.9975,Normal value (A)
1991-05-01,-,Missing value; data cannot exist (M)
1991-04-30,93.0550,Normal value (A)
1991-04-29,93.9052,Normal value (A)
1991-04-28,-,Missing value; data cannot exist (M)
1991-04-27,-,Missing value; data cannot exist (M)
1991-04-26,93.3978,Normal value (A)
1991-04-25,93.6453,Normal value (A)
1991-04-24,92.9817,Normal value (A)
1991-04-23,93.6731,Normal value (A)
1991-04-22,93.7013,Normal value (A)
1991-04-21,-,Missing value; data cannot exist (M)
1991-04-20,-,Missing value; data cannot exist (M)
1991-04-19,92.7732,Normal value (A)
1991-04-18,91.9474,Normal value (A)
1991-04-17,91.3299,Normal value (A)
1991-04-16,91.2014,Normal value (A)
1991-04-15,91.5098,Normal value (A)
1991-04-14,-,Missing value; data cannot exist (M)
1991-04-13,-,Missing value; data cannot exist (M)
1991-04-12,91.5101,Normal value (A)
1991-04-11,91.8882,Normal value (A)
1991-04-10,91.4210,Normal value (A)
1991-04-09,91.8903,Normal value (A)
1991-04-08,92.0611,Normal value (A)
1991-04-07,-,Missing value; data cannot exist (M)
1991-04-06,-,Missing value; data cannot exist (M)
1991-04-05,91.5836,Normal value (A)
1991-04-04,92.2078,Normal value (A)
1991-04-03,92.0149,Normal value (A)
